videoname,TSV,B,SR,S,U,O
1-4.mp4,2.5644,1.8566,2.45,1.9687,2.9056,4.1097
1-9.mp4,1.364,0.423,1.0583,0.75376,0.87774,1.7056
1-11.mp4,0.85,1.6565,1.215,0.63881,1.256,2.6524
1-12.mp4,2.2016,2.0323,1.9054,2.207,2.5443,3.91
1-13.mp4,0.85,1.2356,0.654,0.13139,0.6565,1.2056
1-14.mp4,0.9235,1.3311,1.356,1.0388,0.92656,1.846
1-15.mp4,0.96917,1.4565,0.85545,0.8254,1.4656,2.56
1-16.mp4,1.345,1.856,1.6545,1.3003,1.032,2.3605
1-17.mp4,0.45,1.4656,1.3545,0.36405,0.565,1.34
1-18.mp4,0.9454,1.5686,0.895,0.74001,1.3656,2.456
1-19.mp4,0.44623,1.506,1.452,0.33091,0.24448,1.4162
1-22.mp4,0.60707,1.7066,1.6,0,0.256,1.4056
1-23.mp4,0.95,1.565,1.5684,0.40128,1.456,1.6649
2-1.mp4,1.9321,2.8565,2.452,1.8637,2.406,3.6081
2-4.mp4,1.2,1.356,0.9654,0.76918,1.76,2.789
2-6.mp4,2.2013,2.9656,2.454,2.2774,2.785,4.8569
2-8.mp4,2.3221,2.7565,1.8565,1.9784,2.2769,4.0711
2-9.mp4,1.6827,1.7565,1.5523,1.839,2.4265,3.7563
2-10.mp4,1.4,1.6566,1.3648,0.68874,1.4057,2.956
2-11.mp4,1.8624,1.0232,1.4722,1.1914,1.7056,2.656
2-14.mp4,1.6014,1.5247,1.155,0.80164,1.6273,3.056
2-16.mp4,2.4397,2.7656,1.7054,1.7962,1.765,3.3211
2-17.mp4,2.5679,1.8656,1.8565,2.0574,2.25,3.9896
2-18.mp4,2.371,2.856,1.8545,2.2243,2.5473,4.3313
2-19.mp4,0.8,1.032,0.85,0.78496,0.8565,1.6056
2-20.mp4,1.3545,1.359,1.1565,0.77432,1.4549,2.2713
2-21.mp4,0.72094,1.1232,0.88521,0.4249,0.756,1.3883
2-22.mp4,1.654,1.6138,0.21545,0.54876,1.1618,2.565
2-23.mp4,1.354,1.3565,0.7556,0.80676,0.7565,2.023
2-24.mp4,0.75,1.7865,0.099618,0,0.14586,1.25
2-25.mp4,0.4,1.856,0.26355,0.1005,0.13032,1.256
2-26.mp4,0.1,1.756,1.2,0.057121,0.23,1.3456
3-3.mp4,1.8027,1.2323,1.604,1.5548,2.356,3.4568
3-4.mp4,2.1695,1.8565,0.6562,2.2333,2.0758,3.0801
3-7.mp4,2.1547,0.685,1.234,0.9292,0.8456,2.5177
3-8.mp4,1.9131,0.8565,0.654,1.1968,1.4572,2.898
3-9.mp4,2.5859,0.556,0.6546,1.9325,1.5928,3.2051
3-11.mp4,0.9,1.5223,0.41358,0.60811,0.71136,1.605
3-12.mp4,0.8,0.7565,0.541,0.55618,1.3565,1.3646
3-13.mp4,0.93514,1.345,0.62018,0.50955,0.54709,1.8
3-14.mp4,2.2449,1.988,1.4266,2.0913,1.768,3.8343
3-15.mp4,2.2833,1.9003,1.8056,1.9317,1.7889,3.9374
3-19.mp4,0.8,1.456,0.7656,0.11648,0.6656,1.5621
3-20.mp4,0.2,0.9895,0.3,0.074755,0,1.1832
3-21.mp4,0.85,0.86271,0.67723,0.30451,0.3,1.265
3-22.mp4,0.85,1.523,0.54791,0.22871,1.3265,1.7812
3-23.mp4,0.75,1.026,0.54,0.34363,0.40656,1.3
3-25.mp4,0,1.2656,1,0.084507,0,1.0277
3-26.mp4,0.85,0.8656,0.6544,0.51334,0.235,1.344
3-27.mp4,0.85,0.6565,1.2353,0.17284,0.656,1.365
3-28.mp4,0.7,1.7565,0.35,0.1161,0,1.2619
4-1.mp4,2.0698,1.8163,2.7545,1.7863,2.456,3.7101
4-6.mp4,1.7502,0.4232,1.9065,1.7259,1.6057,2.7763
4-7.mp4,1.9684,2.856,1.9156,1.9841,2.3572,4.68
4-8.mp4,1.6597,1.565,2.0656,1.2159,1.5685,2.8906
4-9.mp4,1.654,1.8565,1.2689,1.2916,2.356,2.8344
4-12.mp4,2.3827,2.865,2.2944,2.7323,2.5313,4.6
4-14.mp4,2.3159,2.9666,2.2976,2.7142,2.6689,4.898
4-15.mp4,0.8,0.8989,1.0248,1.3435,1.6565,2.235
4-16.mp4,0.9,0.845,1.021,1.0105,1.7565,2.5656
4-17.mp4,0.95,1.665,0.98962,1.3928,1.3565,2.7565
4-22.mp4,2.7458,2.5656,2.8774,2.6699,2.8,4.6594
4-23.mp4,2.8952,2.4589,2.2783,2.6869,2.7921,4.6428
4-27.mp4,2.3994,1.8454,1.874,2.0774,1.8056,4.2755
4-30.mp4,2.4231,2.1883,1.706,2.2257,2.0295,4.1462
4-31.mp4,1.3224,1.1851,1.3728,1.0823,1.45,2.989
4-32.mp4,1.7361,1.2119,1.452,1.338,1.4235,2.68
4-35.mp4,1,0.232,0.52336,0.51022,1.3656,2.1897
4-37.mp4,1.4888,1.4565,1.5646,1.0917,1.4056,2.7449
4-38.mp4,1.3358,1.3656,1.0544,1.0309,0.656,1.686
4-39.mp4,2.029,0.3265,1.7026,2.2131,1.8256,3.2641
4-40.mp4,0.2,1.354,1.35,0.10024,0.123,1.256
4-41.mp4,1.5763,1.656,1.46,1.2633,1.4693,3.126
4-42.mp4,0.75,0.5623,1.421,0.90795,0.9565,1.3156
4-43.mp4,0.25,1.4565,0.95,0.046955,0.3565,1.256
4-44.mp4,0.9,1.065,0.9545,0.89143,1.3265,1.7
4-45.mp4,1.4272,0.656,1.1959,1.1804,1.165,2.0989
5-2.mp4,0.98767,1.56,0.90283,0.66002,1.0989,2.2604
5-7.mp4,1.064,1.5567,1.124,0.70239,0.8656,2.345
5-8.mp4,0.9,0.32326,0.6545,0.36303,0.356,1.123
5-9.mp4,0.4,0.75656,1.5656,0.59027,0.456,1.3
5-10.mp4,0.3,1.6545,1.8,0.84185,0.5232,1.4706
5-13.mp4,1.1543,0.4545,1.159,0.77376,0.7565,2.2704
5-14.mp4,0.78,0.3646,1.1515,0.2791,0.35741,1.56
5-15.mp4,0.85,1.4565,0.722,0.24106,0.756,1.35
5-16.mp4,1.0484,0.85656,0.564,0.62363,1.0232,1.8056
5-17.mp4,0.49986,1.235,0.74646,0.33399,0.7565,1.5235
5-20.mp4,0.4,1.356,1.1515,0.26965,0.2353,1.2277
5-21.mp4,0.65,1.365,1.342,0.9523,0.856,1.4
5-22.mp4,0.85,0.51724,1.1545,0.32476,0.9565,1.6021
5-23.mp4,0.75,0.62255,0.4512,0.23965,0.856,1.235
5-24.mp4,0.68,1.756,1,0.13813,0.8656,1.4829
6-2.mp4,1.9067,0.4232,2.6565,1.5894,1.684,3.2745
6-6.mp4,2.3887,1.7565,1.7065,2.2156,2.444,3.811
6-7.mp4,1.3,0.9232,0.659,0.68072,1.226,2.1466
6-16.mp4,1.8134,0.6856,0.455,1.0179,0.96981,2.1419
6-17.mp4,1.637,0.3265,0.452,1.0303,1.3658,2.356
6-18.mp4,2.1819,0.3565,0.845,2.1257,1.6056,3.8952
6-19.mp4,0.75,0.765,1.264,0.13366,0.556,1.256
6-20.mp4,2.2176,1.7565,1.1066,1.4609,1.7056,3.5635
6-21.mp4,0.96039,0.3265,1.0308,0.6437,0.989,2.065
6-22.mp4,1.2656,0.856,0.44087,0.26061,0.865,1.3265
6-23.mp4,1.1886,0.7895,0.54268,0.85126,1.4565,2.3783
6-26.mp4,1.4215,1.0356,0.752,1.064,1.3027,2.3466
6-27.mp4,1.2656,0.865,1.5266,1.2739,1.4656,2.0247
6-28.mp4,2.0784,1.4232,1.6455,2.1747,1.9056,3.6479
6-29.mp4,2.0963,1.2232,1.4256,2.091,2.2423,3.4998
6-31.mp4,0.8,1.5565,0.71238,0.96739,0.356,1.4026
6-32.mp4,1.3863,0.8959,0.232,0.41295,0.8565,1.56
6-33.mp4,0.8,1.8454,0.93736,0.16271,0.24849,1.3856
6-34.mp4,0.75,1.5656,0.16234,0.35975,0.12,1.3056
6-35.mp4,0.7,1.5232,0.35723,0.50883,0.7565,1.4826
6-20_1.mp4,0.8,0.3656,0.99892,0.70946,0.96238,2.048
7-1.mp4,1.9296,2.556,1.8757,1.9466,2.0624,3.8107
7-2.mp4,1.3068,1.42,1.5336,1.2996,1.4056,2.845
7-8.mp4,2.0212,1.0656,1.8612,1.5016,1.402,2.789
7-10.mp4,1.8577,1.0656,1.3646,1.5104,1.656,3.05
7-12.mp4,0.85,1.5656,0.6874,0.12391,0.6856,1.4
7-13.mp4,1.9243,2.032,1.84,1.9056,1.768,3.2176
7-14.mp4,1.452,0.346,1.2656,1.2061,1.205,2.8325
7-15.mp4,1.7745,2.556,1.8956,1.3784,1.856,3.4373
7-16.mp4,0.95,0.7565,0.752,0.37184,1.2556,1.456
7-17.mp4,1.3564,1.413,0.7545,0.96151,0.845,2.256
7-21.mp4,0.35,1.235,0.10882,0.014874,0.123,1.0233
7-22.mp4,0.45,1.7556,0.85,0,0.095353,1.356
7-23.mp4,0.1627,1.706,1.1374,0.21096,0.3565,1.4056
8-2.mp4,1.4761,1.746,1.6565,1.4445,1.3265,3.0861
8-3.mp4,1.8098,2.1232,1.3332,1.2697,1.5056,3.123
8-5.mp4,0.63529,1.5656,0.751,0.30588,0.4565,1.136
8-6.mp4,0.75,1.7232,0.89826,0.91945,1.0265,1.7828
8-7.mp4,1.452,1.8744,1.6599,1.3082,1.4232,2.0256
8-8.mp4,0.8,1.023,1.1215,0.14768,0.456,1.8427
8-9.mp4,0.2,1.8565,0.2,0.24505,0.1232,1.25
8-12.mp4,0.4,1.7656,0.65,0.084299,0.3656,1.2
8-13.mp4,0.65,0.843,0.3454,0.17958,0.32356,1.133
8-14.mp4,1.5745,0.899,0.452,0.83866,0.656,1.7056
8-15.mp4,1.7854,0.7656,1.3246,1.2536,1.3056,2.6876
8-18.mp4,0.85,1.06,1.1215,0.78647,0.756,1.456
8-19.mp4,2.1687,0.7565,1.565,1.8839,1.76,3.6042
8-20.mp4,2.0229,1.0266,0.9865,2.0448,1.897,3.7391
8-22.mp4,0.6,0.9056,0.654,0.18272,0.658,1.256
8-23.mp4,0.15981,1.5232,0.34079,0.18222,0.2356,1.123
8-28.mp4,1.4545,1.4581,1.5989,1.1877,1.8566,2.656
8-29.mp4,0.75,0.456,0.57632,0.61302,0.69753,1.32
8-30.mp4,0.9,1.4232,1.564,0.45369,1.265,2.2137
8-32.mp4,0.85,0.75088,0.1212,0.13314,0.7565,1.234
8-5_1.mp4,1.6003,1.032,0.2654,0.63645,0.756,1.7093
9-1.mp4,1.6714,1.1236,1.1265,1.2289,1.4056,2.456
9-3.mp4,0.85,1.456,0.25,0.11733,1.2945,1.3989
9-6.mp4,1.818,0.42326,2.8646,1.919,1.35,2.8355
9-7.mp4,0.89184,0.42323,1.022,0.99652,1.6523,2.3053
9-13.mp4,1.5134,0.3265,1.3344,1.2954,1.3526,2.95
9-14.mp4,1.3058,0,2.9454,2.2724,1.7056,2.6
9-16.mp4,1.6921,0,2.656,2.1008,1.356,2.756
9-17.mp4,1.7008,2.9886,1.7232,1.1003,1.565,2.9471
9-19.mp4,1.698,0.22356,1.806,2.2662,1.8789,3.0803
9-20.mp4,1.468,0,1.1813,1.704,1.4056,2.8235
9-22.mp4,1.7144,0.5656,1.8167,1.8828,1.5056,2.8698
9-25.mp4,2.434,2.756,2.3054,2.814,2.856,4.3799
9-26.mp4,1.8005,2.1256,1.9813,1.8332,1.9161,3.1201
9-29.mp4,0.3,1.7566,0.26384,0.040447,0.1232,1.302
9-30.mp4,0.78,1.0665,1.3647,0.17102,0.656,1.4351
9-31.mp4,2.5538,2.211,1.645,2.6457,2.01,3.7921
9-34.mp4,1.4554,2.0776,0.265,1.3367,0.7656,2.3886
9-35.mp4,2.2383,2.0893,1.1365,2.0399,1.6856,3.3014
9-37.mp4,2.0243,1.856,0.89565,1.6974,1.8299,3.2769
9-41.mp4,0.954,1.6565,0.912,1.0892,1.405,2.1167
9-42.mp4,1.7942,0.42326,0.81446,1.2053,1.4833,2.656
9-44.mp4,0.7,1.5655,1.235,0.5958,0.2556,1.3147
9-49.mp4,1.8801,0.7565,0.7665,1.2897,1.1775,2.2291
9-50.mp4,1.2781,1.4565,0.452,0.68649,1.2043,2.756
9-51.mp4,1,0.9323,0.65261,0.31331,1.023,2.0037
9-52.mp4,0.9,1.4565,0.63597,0.32554,1.365,2.365
9-53.mp4,0.8,1.032,1.1245,0.41784,0.9565,2.0293
9-56.mp4,0.55,1.4565,0.24233,0.18162,0.0323,1.123
9-57.mp4,0.5,1.2356,0.4512,0.18167,0.132,1.2645
9-58.mp4,0.85,1.2326,1.541,0.24322,0.689,1.6482
9-59.mp4,0.85,1.326,1.1515,0.25529,0.49832,1.7121
9-60.mp4,0.85,1.689,0.6848,0.63904,1.256,2.45
10-5.mp4,0.9,0.8565,1.354,0.67609,0.71311,1.7056
10-6.mp4,0.65,1.7065,0.345,0.14323,0.8565,1.5764
10-7.mp4,0.7,0.75656,0.364,0.078782,0.423,1.233
10-8.mp4,1.1545,0.8565,1.6549,0.69598,1.356,2.365
10-11.mp4,0.85,0.85656,1.3746,0.15745,0.42356,1.302
10-12.mp4,1.6549,1.756,1.4035,1.8715,1.5,2.8304
10-13.mp4,1.1545,0.956,0.8784,0.67591,0.89694,2.2565
10-14.mp4,1.9993,0.85656,1.7599,2.0338,1.757,3.0798
10-15.mp4,1.632,0.8989,1.6523,1.8588,1.65,3.2976
10-16.mp4,1.8072,1.7692,1.5068,1.3849,1.9065,3.2244
10-18.mp4,0.5,0.956,1.684,0.24127,0.55656,1.3233
10-19.mp4,1.321,1.1905,1.785,0.99113,1.3056,2.5195
10-21.mp4,1.4751,1.4232,0.8954,0.51133,1.235,2.305
10-22.mp4,0.75,1.7565,0.785,0.49643,0.658,1.5574
10-23.mp4,1.5922,1.7566,1.0255,0.87742,1.0926,2.4881
10-26.mp4,0.78,0.723,1.5651,0.36011,0.235,1.4507
10-27.mp4,0.8,1.656,0.51484,0.39274,0.856,1.6987
10-28.mp4,0.95213,0.756,1.2159,0.61604,1.4057,2.7
10-30.mp4,1,0.81943,1.24,0.37055,1.4565,2.756
10-31.mp4,0.46868,1.856,1.0545,0.31305,0.6565,1.3056
11-2.mp4,2.0506,1.565,1.6989,2.0371,2.0701,3.9639
11-3.mp4,1.3174,1.032,0.7856,0.65715,1.7065,2.6056
11-4.mp4,2.0695,0.7565,2.454,1.5161,2.1699,3.345
11-11.mp4,1.654,1.4376,1.4656,0.90522,1.8565,2.756
11-12.mp4,1.932,1.7387,1.9191,1.9119,2.2078,3.4707
11-14.mp4,0.2,1.658,1.2646,0.13132,0.356,1.2695
11-15.mp4,0.8,1.2323,1.6545,0.41822,0.687,1.4232
11-16.mp4,0.7,1.326,0.545,0.528,0.456,1.5615
11-17.mp4,1.0782,1.0256,1.3445,0.49482,1.0359,2.1986
11-18.mp4,0.85,1.3262,0.8495,0.12303,0.16834,1.156
12-1.mp4,1,1.232,1.254,1.1305,0.3265,1.6056
12-2.mp4,1.3331,0.6565,0.9865,0.68914,1.5656,2.3794
12-3.mp4,2.3771,1.0656,0.854,1.7482,1.6023,3.02
12-4.mp4,1,0.865,1.875,0.36677,1.3565,2.346
12-5.mp4,1.452,1.026,0.982,0.67474,0.86483,2.265
12-6.mp4,0.83768,1.0323,0.51894,0.53726,0.51579,1.456
12-7.mp4,1.095,0.8656,0.7458,0.64677,1.023,2.0641
12-9.mp4,2.328,1.5656,1.2656,1.179,1.0565,2.8989
12-11.mp4,1.0872,1.3656,1.3544,0.7364,1.565,2.0012
12-14.mp4,1.1,0.42323,0.81818,0.62802,0.245,1.1232
12-15.mp4,0.75,1.6665,0.7856,1.2613,0.4565,1.4
13-2.mp4,1.4454,1.0656,1.5201,1.4481,1.423,2.56
13-4.mp4,1.3656,1.4888,0.91233,1.0324,1.7057,2.7056
13-6.mp4,1.654,1.7233,1.3947,1.024,1.353,3.062
13-7.mp4,0.9,1.1089,1.1276,0.879,1.065,2.6
13-9.mp4,1.6344,1.2656,1.8236,1.5571,1.405,3.3226
13-10.mp4,1.428,1.22,1.1566,0.92561,1.2261,2.6565
13-11.mp4,2.5496,2.7178,2.664,2.0288,2.2586,3.9586
13-12.mp4,2.7031,2.8656,2.88,2.7675,2.6527,4.568
13-13.mp4,2.1834,2.9656,1.266,1.7187,2.023,3.3099
13-16.mp4,2.1745,2.323,2.1656,2.2527,2.056,4.0399
13-17.mp4,1.6054,1.465,1.4292,1.27,1.356,2.65
13-20.mp4,1.4212,1.7566,1.1232,0.92384,1.4022,2.756
13-21.mp4,0.65,1.5656,1.151,0.16346,0.756,1.5056
13-22.mp4,1.154,0.6565,1.892,1.0934,1.0309,2.0809
13-23.mp4,0.1,1.8656,0.26367,0.13823,0,1.026
13-24.mp4,0.8845,1.423,1.1612,0.89954,1.322,2.354
13-25.mp4,0.75,1.565,0.36546,0.29703,0.365,1.6697
13-26.mp4,0.9,1.065,1.2465,0.55893,1.1232,1.7056
13-27.mp4,1.3965,1.0232,1.46,1.1422,1.756,2.96
13-28.mp4,0.75,1.7565,1.7565,0.93708,1.562,2.346
13-29.mp4,0.85,0.556,1.0656,0.49389,0.8008,1.23
13-30.mp4,0.85,0.7565,0.93493,0.65426,0.456,1.4
13-31.mp4,1.2365,2.432,1.566,1.0484,1.3056,2.7946
14-1.mp4,0.95121,1.656,0.84204,0.94005,1.5565,2.3146
14-3.mp4,1.2632,1.3565,1.5231,1.0541,1.262,2.456
14-4.mp4,1.254,1.56,1.2345,0.93605,1.798,2.889
14-5.mp4,0.7,1.4232,0.654,0.21162,0.7565,1.4981
14-9.mp4,2.7842,2.156,3,2.816,2.89,5
14-10.mp4,0.78,0.9454,1.451,0.36783,1.6456,2.156
14-11.mp4,0.9,1.1232,1.345,0.49238,1.3656,2.0236
14-13.mp4,1.3651,1.1566,1.2929,1.1168,1.0704,2.423
14-14.mp4,1.45,1.1656,1.4246,1.7829,1.2065,2.3
14-15.mp4,0.35,1.2356,0.645,0.065498,0.17258,1.1725
14-16.mp4,0.17973,1.2356,1.2,0.16604,0.08661,1.1265
14-17.mp4,0.2,0.84545,1.7897,0.12393,0.056,1.19
14-18.mp4,0.024543,1.869,1.5794,0.15812,0.086277,1
14-19.mp4,0.7,0.8565,1.4556,0.95131,0.56,1.6056
14-20.mp4,0.95,0.75656,1.758,0.31236,1.65,2.032
14-21.mp4,0.5,0.8656,1.685,0.26209,0.235,1.1519
14-22.mp4,0.36132,1.3566,0.94846,0.31628,0.23877,1.2835
14-23.mp4,0.6,1.2323,0.854,0.30282,0.6565,1.5239
14-24.mp4,1.2764,0.7565,1.2949,0.62165,1.2056,2.2601
14-25.mp4,1.2,1.423,1.0656,0.67207,1.5232,2.656
14-26.mp4,0.45,1.4506,1.1373,0.13065,0.8656,1.4056
14-27.mp4,0.88,0.563,1.874,0.77541,1.3656,1.856
14-28.mp4,0.35328,1.5656,1.3254,0.5196,0.50436,1.4056
14-29.mp4,0.1,1.5445,1.4,0.056193,0,1.2248
14-30.mp4,0.7,1.6565,1.754,0.41714,1.656,1.89
15-2.mp4,0.85,1.856,1.7545,0.30855,1.6488,2.3206
15-7.mp4,1.4778,1.277,1.452,0.95872,1.1565,2.58
15-9.mp4,0.95,0.923,1.4526,0.37677,1.4565,2.3456
15-12.mp4,1.654,1.656,1.8656,1.367,1.8656,3.2984
15-13.mp4,1.8971,2.856,2.502,1.4362,1.706,3.1985
15-14.mp4,1.9065,2.9956,2.0349,2.0418,1.9021,3.2158
15-15.mp4,1.235,2.8656,1.7556,1.7286,1.7566,2.7565
15-16.mp4,1.457,1.649,1.5533,1.8061,1.7066,2.9885
15-18.mp4,1.4736,1.8976,1.7065,1.2583,1.5056,2.404
15-19.mp4,0.85,0.5656,0.4512,0.022249,0.756,1.3925
15-20.mp4,0.8,0.856,0.47575,0.26167,0.33083,1.235
15-22.mp4,0.95,1.023,1.054,0.47142,1.4065,2.1635
15-23.mp4,1.9266,1.86,1.8656,1.6613,1.978,3.4997
15-24.mp4,1.7772,1.756,2.565,2.1944,2.03,3.156
15-25.mp4,0.85,1.6566,1.365,1.0415,1.365,2.123
15-26.mp4,0.75,1.865,0.85022,0.70484,0.856,1.523
15-28.mp4,0.6,1.7565,1.0903,0.64744,1.245,1.7056
16-1.mp4,2.5085,2.9665,2.898,2.6494,2.9,4.7
16-2.mp4,0.3,1.8565,1.874,0.66344,0.15837,1.4126
16-3.mp4,1.277,0.856,1.78,0.78249,1.5233,1.7362
16-4.mp4,1.8102,1.53,2.245,1.9165,2.0435,2.875
16-5.mp4,1.2,1.656,1.5686,0.50231,1.2038,2.956
16-6.mp4,0.9,1.02,2.165,0.41307,1.456,2.456
16-7.mp4,0.31197,1.346,1.5659,0.16905,0.37183,1.7784
16-8.mp4,1.6864,0.8465,1.8481,1.3964,1.686,2.5445
16-9.mp4,1.1554,0.76565,1.356,1.0028,1.256,2.35
16-10.mp4,1.9916,2.4656,2.2712,1.6093,2.0597,3.6215
16-12.mp4,1.6996,0.456,2.5989,1.4925,1.6056,2.977
16-13.mp4,2.4802,2.956,2.6098,2.4105,2.8565,4.7725
16-14.mp4,2.287,0.7656,1.901,2.1173,2.123,4.0772
16-15.mp4,2.1504,0.12356,2.656,1.8526,1.4023,2.789
16-16.mp4,2.2223,1.123,1.2961,1.2857,1.3565,2.8474
16-18.mp4,1.3654,0.7565,1.6932,1.3523,1.35,2.7117
16-23.mp4,1.3646,0.2356,2.0507,1.8858,1.6071,2.6041
16-24.mp4,1.8136,0.42355,1.791,1.3072,1.756,2.356
16-25.mp4,1.123,0.8959,1.3656,0.87325,1.035,2.2434
16-27.mp4,1.9916,1.5565,1.3065,1.2641,1.51,2.756
16-28.mp4,1.8301,1.1233,1.136,1.29,1.4065,2.8656
16-30.mp4,0.9,1.565,0.6548,0.61277,1.3565,2.5056
16-31.mp4,1.2508,1.656,0.81113,0.82875,1.1232,2.265
16-32.mp4,2.1106,1.455,1.3656,1.7911,1.6,2.889
16-34.mp4,0.7,0.826,1.1212,0.62315,0.56324,1.6838
16-35.mp4,1.2354,1.4646,0.895,1.0937,1.1094,2.4635
16-36.mp4,1.5021,1.6565,0.99507,0.75682,1.2366,2.68
16-37.mp4,2.0012,3,2.7695,2.9469,2.7731,4.4974
16-38.mp4,2.1482,2.232,1.354,1.9676,1.8556,3.1772
16-39.mp4,0.9,1.8656,1.264,0.49255,1.3565,1.756
16-40.mp4,0.83926,1.4565,1.2545,0.27868,0.856,1.344
16-41.mp4,0.9,1.0318,0.984,0.99796,1.4565,2.3128
16-42.mp4,0.6,0.8323,1.3254,0.28762,0.689,1.8494
16-44.mp4,0.8,1.0323,1.754,0.27666,0.9565,1.3619
16-45.mp4,0.40633,1.3565,1.021,0.14508,0.42665,1.106
16-46.mp4,1,1.0232,1.354,0.52175,1.345,1.9901
16-47.mp4,2.0727,1.456,1.0656,1.8052,1.4235,3.4574
16-48.mp4,1.2,0.4545,1.232,0.32119,1.0565,1.7845
16-49.mp4,0.85,0.52896,0.984,0.37441,0.756,1.2066
16-50.mp4,1.0585,1.4232,1.2065,0.9999,0.8656,2.3131
16-51.mp4,2.2582,2.365,2.013,2.0058,2.153,3.8639
16-52.mp4,0.45985,1.423,0.9335,0.26885,0.36191,1
16-53.mp4,0.5,0.15656,1.4545,0.32806,0.356,1.235
17-1.mp4,0,1.86,2,0.20552,0,1
17-2.mp4,0.97556,1.5656,1.542,0.26383,1.165,1.9056
17-3.mp4,0,1.8989,1.3,0,0,1
17-8.mp4,2.2804,2.8566,2.2529,2.1284,2.402,3.9541
17-9.mp4,0.8,1.865,1.23,0.7273,1.256,2.0232
17-11.mp4,0.85,0.956,0.94864,0.62018,1.7057,2.856
